ticker,Date,SplitRatio
600276.SS,2001-05-11 00:00:00+08:00,1.3
600276.SS,2002-05-21 00:00:00+08:00,1.2
600276.SS,2006-06-19 00:00:00+08:00,1.25
600276.SS,2006-08-29 00:00:00+08:00,1.3
600276.SS,2007-04-02 00:00:00+08:00,1.3
600276.SS,2008-04-11 00:00:00+08:00,1.2
600276.SS,2009-04-30 00:00:00+08:00,1.2
600276.SS,2010-03-17 00:00:00+08:00,1.2
600276.SS,2011-04-26 00:00:00+08:00,1.5
600276.SS,2012-05-29 00:00:00+08:00,1.1
600276.SS,2013-06-07 00:00:00+08:00,1.1
600276.SS,2014-05-15 00:00:00+08:00,1.1
600276.SS,2015-06-15 00:00:00+08:00,1.3
600276.SS,2016-06-16 00:00:00+08:00,1.2
600276.SS,2017-05-31 00:00:00+08:00,1.2
600276.SS,2018-05-30 00:00:00+08:00,1.3
600276.SS,2019-03-28 00:00:00+08:00,1.2
600276.SS,2020-05-25 00:00:00+08:00,1.2
600276.SS,2021-06-10 00:00:00+08:00,1.2
600406.SS,2004-04-02 00:00:00+08:00,1.5
600406.SS,2004-10-14 00:00:00+08:00,1.3
600406.SS,2007-03-27 00:00:00+08:00,1.2
600406.SS,2010-03-24 00:00:00+08:00,2.0
600406.SS,2011-03-25 00:00:00+08:00,2.0
600406.SS,2012-04-05 00:00:00+08:00,1.5
600406.SS,2013-06-06 00:00:00+08:00,1.4
600406.SS,2021-06-23 00:00:00+08:00,1.2
600406.SS,2022-06-22 00:00:00+08:00,1.2
600406.SS,2023-06-21 00:00:00+08:00,1.2
600660.SS,1993-06-28 00:00:00+08:00,1.5
600660.SS,1994-04-25 00:00:00+08:00,1.5
600660.SS,1995-05-22 00:00:00+08:00,1.3
600660.SS,1996-12-09 00:00:00+08:00,1.3
600660.SS,2001-03-27 00:00:00+08:00,1.6
600660.SS,2002-03-27 00:00:00+08:00,1.11
600660.SS,2004-06-09 00:00:00+08:00,2.0
600660.SS,2008-05-13 00:00:00+08:00,2.0
600660.SS,2009-04-20 00:00:00+08:00,1.0083600000000001
600703.SS,1997-03-03 00:00:00+08:00,1.3
600703.SS,2008-07-07 00:00:00+08:00,1.2
600703.SS,2010-03-16 00:00:00+08:00,2.0
600703.SS,2011-05-23 00:00:00+08:00,2.2
600703.SS,2014-07-04 00:00:00+08:00,1.5
600703.SS,2016-07-15 00:00:00+08:00,1.6
600750.SS,1997-05-13 00:00:00+08:00,2.0
600750.SS,2007-05-24 00:00:00+08:00,1.5
600750.SS,2007-08-27 00:00:00+08:00,1.35
600750.SS,2018-06-20 00:00:00+08:00,1.4
600750.SS,2019-06-12 00:00:00+08:00,1.25
600750.SS,2020-06-12 00:00:00+08:00,1.2
600887.SS,1997-01-15 00:00:00+08:00,2.0
600887.SS,2003-07-10 00:00:00+08:00,2.0
600887.SS,2008-05-22 00:00:00+08:00,1.2
600887.SS,2011-06-13 00:00:00+08:00,2.0
600887.SS,2014-07-16 00:00:00+08:00,1.5
600887.SS,2015-05-28 00:00:00+08:00,2.0
601689.SS,2019-07-10 00:00:00+08:00,1.45
601689.SS,2024-07-19 00:00:00+08:00,1.45
